Supermodule_ID,PMT_ID,Sum_of_8_ID
092,09206,i12
092,09207,i11
092,09208,i11
092,09209,i12
093,09301,i12
093,09302,i13
093,09303,i13
093,09304,i12
093,09305,i13
093,09306,i13
093,09307,i12
093,09308,i13
093,09309,i13
094,09401,i14
094,09402,i14
094,09403,i15
094,09404,i14
094,09405,i14
094,09406,i15
094,09407,i14
094,09408,i14
094,09409,i15
095,09501,g2
095,09502,g2
095,09503,g3
095,09504,g2
095,09505,g2
095,09506,g3
095,09507,g2
095,09508,g2
095,09509,g3
096,09601,g3
096,09602,g4
096,09603,g4
096,09604,g3
096,09605,g4
096,09606,g4
096,09607,g3
096,09608,g4
096,09609,g4
097,09701,g5
097,09702,g5
097,09703,g6
097,09704,g5
097,09705,g5
097,09706,g6
097,09707,g5
097,09708,g5
097,09709,g6
098,09801,g6
098,09802,g7
098,09803,g7
098,09804,g6
098,09805,g7
098,09806,g7
098,09807,g6
098,09808,g7
098,09809,g7
099,09901,g8
099,09902,g8
099,09903,g9
099,09904,g8
099,09905,g8
099,09906,g9
099,09907,g8
099,09908,g8
099,09909,g9
100,10001,g9
100,10002,g10
100,10003,g10
100,10004,g9
100,10005,g10
100,10006,g10
100,10007,g9
100,10008,g10
100,10009,g10
101,10101,g11
101,10102,g11
101,10103,g12
101,10104,g11
101,10105,g11
101,10106,g12
101,10107,g11
101,10108,g11
101,10109,g12
102,10201,g12
102,10202,g13
102,10203,g13
102,10204,g12
102,10205,g13
102,10206,g13
102,10207,g12
102,10208,g13
102,10209,g13
103,10301,g14
103,10302,g14
103,10303,g15
103,10304,g14
103,10305,g14
103,10306,g15
103,10307,g14
103,10308,g14
103,10309,g15
104,10401,g2
104,10402,g2
104,10403,g3
104,10404,k2
104,10405,k2
104,10406,k3
104,10407,k2
104,10408,k2
104,10409,k3
105,10501,g3
105,10502,g4
105,10503,g4
105,10504,k3
105,10505,k4
105,10506,k4
105,10507,k3
105,10508,k4
105,10509,k4
106,10601,g5
106,10602,g5
106,10603,g6
106,10604,k5
106,10605,k5
106,10606,k6
106,10607,k5
106,10608,k5
106,10609,k6
107,10701,g6
107,10702,g7
107,10703,g7
107,10704,k6
107,10705,k7
107,10706,k7
107,10707,k6
107,10708,k7
107,10709,k7
108,10801,g8
108,10802,g8
108,10803,g9
108,10804,k8
108,10805,k8
108,10806,k9
108,10807,k8
108,10808,k8
108,10809,k9
109,10901,g9
109,10902,g10
109,10903,g10
109,10904,k9
109,10905,k10
109,10906,k10
109,10907,k9
109,10908,k10
109,10909,k10
110,11001,g11
110,11002,g11
110,11003,g12
110,11004,k11
110,11005,k11
110,11006,k12
110,11007,k11
110,11008,k11
110,11009,k12
111,11101,g12
111,11102,g13
111,11103,g13
111,11104,k12
111,11105,k13
111,11106,k13
111,11107,k12
111,11108,k13
111,11109,k13
112,11201,g14
112,11202,g14
112,11203,g15
112,11204,k14
112,11205,k14
112,11206,k15
112,11207,k14
112,11208,k14
112,11209,k15
113,11301,k2
113,11302,k2
113,11303,k3
113,11304,k2
113,11305,k2
113,11306,k3
113,11307,l2
113,11308,l2
113,11309,l3
114,11401,k3
114,11402,k4
114,11403,k4
114,11404,k3
114,11405,k4
114,11406,k4
114,11407,l3
114,11408,l4
114,11409,l4
115,11501,k5
115,11502,k5
115,11503,k6
115,11504,k5
115,11505,k5
115,11506,k6
115,11507,l5
115,11508,l5
115,11509,l6
116,11601,k6
116,11602,k7
116,11603,k7
116,11604,k6
116,11605,k7
116,11606,k7
116,11607,l6
116,11608,l7
116,11609,l7
117,11701,k8
117,11702,k8
117,11703,k9
117,11704,k8
117,11705,k8
117,11706,k9
117,11707,l8
117,11708,l8
117,11709,l9
118,11801,k9
118,11802,k10
118,11803,k10
118,11804,k9
118,11805,k10
118,11806,k10
118,11807,l9
118,11808,l10
118,11809,l10
119,11901,k11
119,11902,k11
119,11903,k12
119,11904,k11
119,11905,k11
119,11906,k12
119,11907,l11
119,11908,l11
119,11909,l12
120,12001,k12
120,12002,k13
120,12003,k13
120,12004,k12
120,12005,k13
120,12006,k13
120,12007,l12
120,12008,l13
120,12009,l13
121,12101,k14
121,12102,k14
121,12103,k15
121,12104,k14
121,12105,k14
121,12106,k15
121,12107,l14
121,12108,l14
