015_3, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
015_4, b7, [' V10', ' V27', ' W1', ' W19'], [' a6:b7', ' a7:b8', ' b6:c7', ' b7:c8']
015_5, b7, [' V10', ' V27', ' W1', ' W19'], [' a6:b7', ' a7:b8', ' b6:c7', ' b7:c8']
015_6, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
015_7, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
015_8, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
015_9, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
016_1, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
016_2, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
016_3, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
016_4, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
016_5, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
016_6, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
016_7, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
016_8, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
016_9, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
017_1, b10, [' X19', ' X27'], [' b10:c11', ' b9:c10']
017_2, b10, [' X19', ' X27'], [' b10:c11', ' b9:c10']
017_3, b11, [' X27'], [' b10:c11']
017_4, b10, [' X19', ' X27'], [' b10:c11', ' b9:c10']
017_5, b10, [' X19', ' X27'], [' b10:c11', ' b9:c10']
017_6, b11, [' X27'], [' b10:c11']
017_7, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
017_8, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
017_9, c11, [' X11', ' X27'], [' b10:c11', ' c10:d11']
018_1, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
018_2, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
018_3, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
018_4, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
018_5, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
018_6, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
018_7, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
018_8, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
018_9, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
019_1, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
019_2, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
019_3, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
019_4, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
019_5, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
019_6, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
019_7, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
019_8, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
019_9, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
020_1, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
020_2, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
020_3, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
020_4, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
020_5, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
020_6, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
020_7, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
020_8, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
020_9, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
021_1, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
021_2, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
021_3, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
021_4, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
021_5, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
021_6, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
021_7, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
021_8, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
021_9, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
022_1, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
